TAHUN;BULAN;RUTE;KODE;JENIS BANGUNAN;JML. SR;KATEGORI GOLONGAN;KONSUMSI (M3)
2022;JANUARI;RUTE: A105;25;RUMAH TANGGA C;1;Gol. II;34
2022;JANUARI;RUTE: A105;26;RUMAH TANGGA D;2;Gol. II;81
2022;JANUARI;RUTE: A105;31;NIAGA KECIL;3;Gol. III;84
2022;JANUARI;RUTE: A105;32;INSTANSI PEMERINTAH;1;Gol. III;0
2022;JANUARI;RUTE: A106;21;RUMAH TANGGA A;98;Gol. II;1415
2022;JANUARI;RUTE: A106;22;YAYASAN SOSIAL;3;Gol. I;48
2022;JANUARI;RUTE: A106;24;RUMAH TANGGA B;8;Gol. II;247
2022;JANUARI;RUTE: A106;25;RUMAH TANGGA C;3;Gol. II;62
2022;JANUARI;RUTE: A107;13;RUMAH IBADAH;2;Gol. I;52
2022;JANUARI;RUTE: A107;21;RUMAH TANGGA A;42;Gol. II;1012
2022;JANUARI;RUTE: A107;22;YAYASAN SOSIAL;1;Gol. I;200
2022;JANUARI;RUTE: A107;24;RUMAH TANGGA B;130;Gol. II;3054
2022;JANUARI;RUTE: A107;25;RUMAH TANGGA C;15;Gol. II;860
2022;JANUARI;RUTE: A107;31;NIAGA KECIL;5;Gol. III;65
2022;JANUARI;RUTE: A107;36;FIRE HYDRANT;1;Gol. I;5
2022;JANUARI;RUTE: A108;15;SEKOLAH NEGERI;1;Gol. III;0
2022;JANUARI;RUTE: A108;21;RUMAH TANGGA A;74;Gol. II;1873
2022;JANUARI;RUTE: A108;22;YAYASAN SOSIAL;1;Gol. I;132
2022;JANUARI;RUTE: A108;24;RUMAH TANGGA B;223;Gol. II;4573
2022;JANUARI;RUTE: A108;25;RUMAH TANGGA C;2;Gol. II;46
2022;JANUARI;RUTE: A108;31;NIAGA KECIL;19;Gol. III;361
2022;JANUARI;RUTE: A108;32;INSTANSI PEMERINTAH;8;Gol. III;517
2022;JANUARI;RUTE: A108;46;TNI / POLRI;3;Gol. III;891
2022;JANUARI;RUTE: A109;21;RUMAH TANGGA A;71;Gol. II;1284
2022;JANUARI;RUTE: A109;22;YAYASAN SOSIAL;1;Gol. I;45
2022;JANUARI;RUTE: A109;24;RUMAH TANGGA B;80;Gol. II;1511
2022;JANUARI;RUTE: A109;25;RUMAH TANGGA C;2;Gol. II;63
2022;JANUARI;RUTE: A109;31;NIAGA KECIL;3;Gol. III;8
2022;JANUARI;RUTE: A109;32;INSTANSI PEMERINTAH;2;Gol. III;117
2022;JANUARI;RUTE: A110;11;HIDRAN UMUM;1;Gol. I;0
2022;JANUARI;RUTE: A110;13;RUMAH IBADAH;2;Gol. I;80
2022;JANUARI;RUTE: A110;14;PANTI ASUHAN;1;Gol. I;39
2022;JANUARI;RUTE: A110;15;SEKOLAH NEGERI;4;Gol. III;233
2022;JANUARI;RUTE: A110;21;RUMAH TANGGA A;165;Gol. II;3028
2022;JANUARI;RUTE: A110;22;YAYASAN SOSIAL;5;Gol. I;223
2022;JANUARI;RUTE: A110;24;RUMAH TANGGA B;42;Gol. II;701
2022;JANUARI;RUTE: A110;25;RUMAH TANGGA C;1;Gol. II;25
2022;JANUARI;RUTE: A110;26;RUMAH TANGGA D;1;Gol. II;77
2022;JANUARI;RUTE: A110;31;NIAGA KECIL;2;Gol. III;25
2022;JANUARI;RUTE: A111;13;RUMAH IBADAH;3;Gol. I;278
2022;JANUARI;RUTE: A111;15;SEKOLAH NEGERI;4;Gol. III;204
2022;JANUARI;RUTE: A111;21;RUMAH TANGGA A;140;Gol. II;3659
2022;JANUARI;RUTE: A111;24;RUMAH TANGGA B;279;Gol. II;5733
2022;JANUARI;RUTE: A111;25;RUMAH TANGGA C;6;Gol. II;276
2022;JANUARI;RUTE: A111;31;NIAGA KECIL;42;Gol. III;1324
2022;JANUARI;RUTE: A111;32;INSTANSI PEMERINTAH;9;Gol. III;1239
2022;JANUARI;RUTE: A111;33;NIAGA MENENGAH;1;Gol. III;29
2022;JANUARI;RUTE: A111;46;TNI / POLRI;1;Gol. III;117
2022;JANUARI;RUTE: A112;13;RUMAH IBADAH;2;Gol. I;25
2022;JANUARI;RUTE: A112;15;SEKOLAH NEGERI;1;Gol. III;58
2022;JANUARI;RUTE: A112;21;RUMAH TANGGA A;159;Gol. II;2963
2022;JANUARI;RUTE: A112;22;YAYASAN SOSIAL;1;Gol. I;10
2022;JANUARI;RUTE: A112;23;RUMAH SAKIT PEMERINTAH;1;Gol. III;77
2022;JANUARI;RUTE: A112;24;RUMAH TANGGA B;95;Gol. II;1759
2022;JANUARI;RUTE: A112;25;RUMAH TANGGA C;1;Gol. II;42
2022;JANUARI;RUTE: A112;31;NIAGA KECIL;21;Gol. III;453
2022;JANUARI;RUTE: A112;44;KLINIK PEMERINTAH;1;Gol. III;14
2022;JANUARI;RUTE: A113;11;HIDRAN UMUM;1;Gol. I;2
2022;JANUARI;RUTE: A113;13;RUMAH IBADAH;3;Gol. I;39
2022;JANUARI;RUTE: A113;15;SEKOLAH NEGERI;2;Gol. III;26
2022;JANUARI;RUTE: A113;21;RUMAH TANGGA A;237;Gol. II;3411
2022;JANUARI;RUTE: A113;22;YAYASAN SOSIAL;4;Gol. I;59
2022;JANUARI;RUTE: A113;24;RUMAH TANGGA B;106;Gol. II;2435
2022;JANUARI;RUTE: A113;25;RUMAH TANGGA C;3;Gol. II;104
2022;JANUARI;RUTE: A113;31;NIAGA KECIL;34;Gol. III;721
2022;JANUARI;RUTE: A113;32;INSTANSI PEMERINTAH;4;Gol. III;40
2022;JANUARI;RUTE: A114;13;RUMAH IBADAH;2;Gol. I;25
2022;JANUARI;RUTE: A114;15;SEKOLAH NEGERI;1;Gol. III;40
2022;JANUARI;RUTE: A114;21;RUMAH TANGGA A;24;Gol. II;183
2022;JANUARI;RUTE: A114;22;YAYASAN SOSIAL;1;Gol. I;35
2022;JANUARI;RUTE: A114;24;RUMAH TANGGA B;96;Gol. II;1598
2022;JANUARI;RUTE: A114;31;NIAGA KECIL;6;Gol. III;51
2022;JANUARI;RUTE: A114;36;FIRE HYDRANT;1;Gol. I;0
2022;JANUARI;RUTE: A115;13;RUMAH IBADAH;3;Gol. I;390
2022;JANUARI;RUTE: A115;21;RUMAH TANGGA A;111;Gol. II;1740
2022;JANUARI;RUTE: A115;24;RUMAH TANGGA B;22;Gol. II;292
2022;JANUARI;RUTE: A115;25;RUMAH TANGGA C;1;Gol. II;1
2022;JANUARI;RUTE: A115;32;INSTANSI PEMERINTAH;1;Gol. III;7
2022;JANUARI;RUTE: A116;13;RUMAH IBADAH;1;Gol. I;5
2022;JANUARI;RUTE: A116;21;RUMAH TANGGA A;11;Gol. II;312
2022;JANUARI;RUTE: A116;24;RUMAH TANGGA B;98;Gol. II;1625
2022;JANUARI;RUTE: A117;21;RUMAH TANGGA A;3;Gol. II;20
2022;JANUARI;RUTE: A117;24;RUMAH TANGGA B;8;Gol. II;100
2022;JANUARI;RUTE: A118;21;RUMAH TANGGA A;7;Gol. II;538
2022;JANUARI;RUTE: A118;22;YAYASAN SOSIAL;1;Gol. I;280
2022;JANUARI;RUTE: A118;24;RUMAH TANGGA B;63;Gol. II;954
2022;JANUARI;RUTE: A118;25;RUMAH TANGGA C;1;Gol. II;0
2022;JANUARI;RUTE: A118;31;NIAGA KECIL;5;Gol. III;95
2022;JANUARI;RUTE: A119;21;RUMAH TANGGA A;5;Gol. II;91
2022;JANUARI;RUTE: A119;24;RUMAH TANGGA B;1;Gol. II;27
2022;JANUARI;RUTE: A120;21;RUMAH TANGGA A;5;Gol. II;38
2022;JANUARI;RUTE: A120;24;RUMAH TANGGA B;9;Gol. II;182
2022;JANUARI;RUTE: A120;31;NIAGA KECIL;1;Gol. III;1
2022;JANUARI;RUTE: A121;21;RUMAH TANGGA A;26;Gol. II;498
2022;JANUARI;RUTE: A121;24;RUMAH TANGGA B;9;Gol. II;98
2022;JANUARI;RUTE: A122;21;RUMAH TANGGA A;25;Gol. II;477
2022;JANUARI;RUTE: A122;24;RUMAH TANGGA B;21;Gol. II;236
2022;JANUARI;RUTE: A123;21;RUMAH TANGGA A;3;Gol. II;71
2022;JANUARI;RUTE: A124;21;RUMAH TANGGA A;1;Gol. II;17
2022;JANUARI;RUTE: A124;24;RUMAH TANGGA B;1;Gol. II;58
2022;JANUARI;RUTE: A125;21;RUMAH TANGGA A;2;Gol. II;27
2022;JANUARI;RUTE: A125;24;RUMAH TANGGA B;3;Gol. II;24
2022;JANUARI;RUTE: A126;12;KAMAR MANDI UMUM;1;Gol. I;40
2022;JANUARI;RUTE: A126;21;RUMAH TANGGA A;8;Gol. II;89
2022;JANUARI;RUTE: A126;24;RUMAH TANGGA B;111;Gol. II;1706
2022;JANUARI;RUTE: A126;25;RUMAH TANGGA C;1;Gol. II;20
2022;JANUARI;RUTE: A126;31;NIAGA KECIL;5;Gol. III;112
2022;JANUARI;RUTE: A126;32;INSTANSI PEMERINTAH;2;Gol. III;85
2022;JANUARI;RUTE: A127;21;RUMAH TANGGA A;3;Gol. II;81
2022;JANUARI;RUTE: A127;24;RUMAH TANGGA B;7;Gol. II;89
2022;JANUARI;RUTE: A127;31;NIAGA KECIL;1;Gol. III;21
2022;JANUARI;RUTE: A128;21;RUMAH TANGGA A;21;Gol. II;390
2022;JANUARI;RUTE: A128;24;RUMAH TANGGA B;12;Gol. II;273
2022;JANUARI;RUTE: A129;15;SEKOLAH NEGERI;1;Gol. III;0
2022;JANUARI;RUTE: A129;21;RUMAH TANGGA A;10;Gol. II;129
2022;JANUARI;RUTE: A129;24;RUMAH TANGGA B;14;Gol. II;183
2022;JANUARI;RUTE: A130;13;RUMAH IBADAH;3;Gol. I;313
2022;JANUARI;RUTE: A130;15;SEKOLAH NEGERI;4;Gol. III;118
2022;JANUARI;RUTE: A130;21;RUMAH TANGGA A;287;Gol. II;5248
2022;JANUARI;RUTE: A130;23;RUMAH SAKIT PEMERINTAH;1;Gol. III;20
2022;JANUARI;RUTE: A130;24;RUMAH TANGGA B;44;Gol. II;584
2022;JANUARI;RUTE: A130;25;RUMAH TANGGA C;1;Gol. II;0
2022;JANUARI;RUTE: A130;26;RUMAH TANGGA D;1;Gol. II;10
2022;JANUARI;RUTE: A130;31;NIAGA KECIL;66;Gol. III;1442
2022;JANUARI;RUTE: A130;32;INSTANSI PEMERINTAH;2;Gol. III;32
2022;JANUARI;RUTE: A130;33;NIAGA MENENGAH;1;Gol. III;384
2022;JANUARI;RUTE: A131;21;RUMAH TANGGA A;4;Gol. II;137
2022;JANUARI;RUTE: A131;24;RUMAH TANGGA B;3;Gol. II;28
2022;JANUARI;RUTE: A131;31;NIAGA KECIL;2;Gol. III;14
2022;JANUARI;RUTE: A132;21;RUMAH TANGGA A;3;Gol. II;15
2022;JANUARI;RUTE: A132;24;RUMAH TANGGA B;3;Gol. II;49
2022;JANUARI;RUTE: A132;25;RUMAH TANGGA C;1;Gol. II;5
2022;JANUARI;RUTE: A132;31;NIAGA KECIL;1;Gol. III;30
2022;JANUARI;RUTE: A133;21;RUMAH TANGGA A;11;Gol. II;220
2022;JANUARI;RUTE: A133;24;RUMAH TANGGA B;6;Gol. II;76
2022;JANUARI;RUTE: A134;21;RUMAH TANGGA A;13;Gol. II;181
2022;JANUARI;RUTE: A134;24;RUMAH TANGGA B;1;Gol. II;2
2022;JANUARI;RUTE: A135;21;RUMAH TANGGA A;4;Gol. II;59
2022;JANUARI;RUTE: A135;24;RUMAH TANGGA B;1;Gol. II;25
2022;JANUARI;RUTE: A136;21;RUMAH TANGGA A;6;Gol. II;51
2022;JANUARI;RUTE: A136;24;RUMAH TANGGA B;7;Gol. II;68
2022;JANUARI;RUTE: A137;21;RUMAH TANGGA A;20;Gol. II;258
2022;JANUARI;RUTE: A137;24;RUMAH TANGGA B;2;Gol. II;32
2022;JANUARI;RUTE: A138;24;RUMAH TANGGA B;63;Gol. II;1107
2022;JANUARI;RUTE: A139;13;RUMAH IBADAH;1;Gol. I;3
2022;JANUARI;RUTE: A139;21;RUMAH TANGGA A;6;Gol. II;74
2022;JANUARI;RUTE: A139;24;RUMAH TANGGA B;19;Gol. II;289
2022;JANUARI;RUTE: A139;32;INSTANSI PEMERINTAH;1;Gol. III;2
2022;JANUARI;RUTE: A140;24;RUMAH TANGGA B;81;Gol. II;1180
2022;JANUARI;RUTE: A140;31;NIAGA KECIL;2;Gol. III;4
2022;JANUARI;RUTE: A141;21;RUMAH TANGGA A;2;Gol. II;9
2022;JANUARI;RUTE: A141;24;RUMAH TANGGA B;132;Gol. II;2498
2022;JANUARI;RUTE: A141;31;NIAGA KECIL;3;Gol. III;8
2022;JANUARI;RUTE: A142;13;RUMAH IBADAH;1;Gol. I;28
2022;JANUARI;RUTE: A142;15;SEKOLAH NEGERI;1;Gol. III;371
2022;JANUARI;RUTE: A142;21;RUMAH TANGGA A;132;Gol. II;2549
2022;JANUARI;RUTE: A142;24;RUMAH TANGGA B;2;Gol. II;54
2022;JANUARI;RUTE: A142;31;NIAGA KECIL;3;Gol. III;30
2022;JANUARI;RUTE: A142;32;INSTANSI PEMERINTAH;2;Gol. III;79
2022;JANUARI;RUTE: A143;13;RUMAH IBADAH;2;Gol. I;10
2022;JANUARI;RUTE: A143;21;RUMAH TANGGA A;38;Gol. II;489
2022;JANUARI;RUTE: A143;24;RUMAH TANGGA B;49;Gol. II;623
2022;JANUARI;RUTE: A144;21;RUMAH TANGGA A;73;Gol. II;891
2022;JANUARI;RUTE: A144;24;RUMAH TANGGA B;3;Gol. II;53
2022;JANUARI;RUTE: A145;21;RUMAH TANGGA A;70;Gol. II;1524
2022;JANUARI;RUTE: A145;24;RUMAH TANGGA B;1;Gol. II;53
2022;JANUARI;RUTE: A146;15;SEKOLAH NEGERI;3;Gol. III;254
2022;JANUARI;RUTE: A146;21;RUMAH TANGGA A;10;Gol. II;136
2022;JANUARI;RUTE: A146;24;RUMAH TANGGA B;5;Gol. II;158
2022;JANUARI;RUTE: A146;32;INSTANSI PEMERINTAH;20;Gol. III;2168
2022;JANUARI;RUTE: A146;46;TNI / POLRI;2;Gol. II;39
2022;JANUARI;RUTE: A147;13;RUMAH IBADAH;1;Gol. I;0
2022;JANUARI;RUTE: A147;21;RUMAH TANGGA A;56;Gol. II;414
2022;JANUARI;RUTE: A147;24;RUMAH TANGGA B;40;Gol. II;744
2022;JANUARI;RUTE: A148;21;RUMAH TANGGA A;6;Gol. II;99
2022;JANUARI;RUTE: A148;24;RUMAH TANGGA B;15;Gol. II;237
2022;JANUARI;RUTE: A148;31;NIAGA KECIL;5;Gol. III;419
2022;JANUARI;RUTE: A148;32;INSTANSI PEMERINTAH;1;Gol. III;0
2022;JANUARI;RUTE: A149;21;RUMAH TANGGA A;1;Gol. II;15
2022;JANUARI;RUTE: A149;24;RUMAH TANGGA B;3;Gol. II;35
2022;JANUARI;RUTE: A150;21;RUMAH TANGGA A;51;Gol. II;677
2022;JANUARI;RUTE: A151;21;RUMAH TANGGA A;23;Gol. II;300
2022;JANUARI;RUTE: A151;24;RUMAH TANGGA B;1;Gol. II;32
2022;JANUARI;RUTE: A152;11;HIDRAN UMUM;1;Gol. I;0
2022;JANUARI;RUTE: A152;21;RUMAH TANGGA A;5;Gol. II;17
2022;JANUARI;RUTE: A152;24;RUMAH TANGGA B;20;Gol. II;102
2022;JANUARI;RUTE: A153;21;RUMAH TANGGA A;76;Gol. II;303
2022;JANUARI;RUTE: A153;24;RUMAH TANGGA B;11;Gol. II;92
2022;FEBRUARI;RUTE: A101;13;RUMAH IBADAH;2;Gol. I;303
2022;FEBRUARI;RUTE: A101;15;SEKOLAH NEGERI;2;Gol. III;74
2022;FEBRUARI;RUTE: A101;21;RUMAH TANGGA A;146;Gol. II;3122
2022;FEBRUARI;RUTE: A101;22;YAYASAN SOSIAL;1;Gol. I;0
2022;FEBRUARI;RUTE: A101;24;RUMAH TANGGA B;50;Gol. II;907
2022;FEBRUARI;RUTE: A101;25;RUMAH TANGGA C;3;Gol. II;515
2022;FEBRUARI;RUTE: A101;31;NIAGA KECIL;184;Gol. III;3464
2022;FEBRUARI;RUTE: A101;32;INSTANSI PEMERINTAH;14;Gol. III;1960
2022;FEBRUARI;RUTE: A101;33;NIAGA MENENGAH;3;Gol. III;161
2022;FEBRUARI;RUTE: A101;36;FIRE HYDRANT;3;Gol. I;53
2022;FEBRUARI;RUTE: A101;46;TNI / POLRI;1;Gol. III;2933
2022;FEBRUARI;RUTE: A102;13;RUMAH IBADAH;1;Gol. I;0
2022;FEBRUARI;RUTE: A102;21;RUMAH TANGGA A;192;Gol. II;3327
2022;FEBRUARI;RUTE: A102;22;YAYASAN SOSIAL;1;Gol. I;270
2022;FEBRUARI;RUTE: A102;23;RUMAH SAKIT PEMERINTAH;2;Gol. III;9730
2022;FEBRUARI;RUTE: A102;24;RUMAH TANGGA B;46;Gol. II;1058
2022;FEBRUARI;RUTE: A102;25;RUMAH TANGGA C;4;Gol. II;28
2022;FEBRUARI;RUTE: A102;31;NIAGA KECIL;29;Gol. III;707
2022;FEBRUARI;RUTE: A102;32;INSTANSI PEMERINTAH;3;Gol. III;91
2022;FEBRUARI;RUTE: A103;13;RUMAH IBADAH;1;Gol. I;107
2022;FEBRUARI;RUTE: A103;21;RUMAH TANGGA A;167;Gol. II;3128
2022;FEBRUARI;RUTE: A103;24;RUMAH TANGGA B;12;Gol. II;208
2022;FEBRUARI;RUTE: A103;31;NIAGA KECIL;1;Gol. III;0
2022;FEBRUARI;RUTE: A103;32;INSTANSI PEMERINTAH;2;Gol. III;397
2022;FEBRUARI;RUTE: A104;13;RUMAH IBADAH;4;Gol. I;378
2022;FEBRUARI;RUTE: A104;15;SEKOLAH NEGERI;1;Gol. III;133
2022;FEBRUARI;RUTE: A104;21;RUMAH TANGGA A;494;Gol. II;7217
2022;FEBRUARI;RUTE: A104;22;YAYASAN SOSIAL;3;Gol. I;106
2022;FEBRUARI;RUTE: A104;24;RUMAH TANGGA B;340;Gol. II;5338
2022;FEBRUARI;RUTE: A104;25;RUMAH TANGGA C;33;Gol. II;1073
2022;FEBRUARI;RUTE: A104;26;RUMAH TANGGA D;6;Gol. II;114
2022;FEBRUARI;RUTE: A104;31;NIAGA KECIL;16;Gol. III;273
2022;FEBRUARI;RUTE: A104;32;INSTANSI PEMERINTAH;4;Gol. III;3030
2022;FEBRUARI;RUTE: A104;33;NIAGA MENENGAH;1;Gol. III;240
2022;FEBRUARI;RUTE: A105;13;RUMAH IBADAH;2;Gol. I;88
2022;FEBRUARI;RUTE: A105;21;RUMAH TANGGA A;169;Gol. II;2828
2022;FEBRUARI;RUTE: A105;24;RUMAH TANGGA B;65;Gol. II;1283
2022;FEBRUARI;RUTE: A105;25;RUMAH TANGGA C;1;Gol. II;38
2022;FEBRUARI;RUTE: A105;26;RUMAH TANGGA D;2;Gol. II;200
2022;FEBRUARI;RUTE: A105;31;NIAGA KECIL;3;Gol. III;89
2022;FEBRUARI;RUTE: A105;32;INSTANSI PEMERINTAH;1;Gol. III;0
2022;FEBRUARI;RUTE: A106;21;RUMAH TANGGA A;98;Gol. II;1696
2022;FEBRUARI;RUTE: A106;22;YAYASAN SOSIAL;3;Gol. I;80
2022;FEBRUARI;RUTE: A106;24;RUMAH TANGGA B;8;Gol. III;328
2022;FEBRUARI;RUTE: A106;25;RUMAH TANGGA C;3;Gol. III;60
2022;FEBRUARI;RUTE: A107;13;RUMAH IBADAH;2;Gol. I;49
2022;FEBRUARI;RUTE: A107;21;RUMAH TANGGA A;43;Gol. II;929
2022;FEBRUARI;RUTE: A107;22;YAYASAN SOSIAL;1;Gol. I;97
2022;FEBRUARI;RUTE: A107;24;RUMAH TANGGA B;131;Gol. II;2792
2022;FEBRUARI;RUTE: A107;25;RUMAH TANGGA C;15;Gol. II;1043
2022;FEBRUARI;RUTE: A107;31;NIAGA KECIL;5;Gol. III;60
2022;FEBRUARI;RUTE: A107;36;FIRE HYDRANT;1;Gol. I;5
2022;FEBRUARI;RUTE: A108;15;SEKOLAH NEGERI;1;Gol. III;0
2022;FEBRUARI;RUTE: A108;21;RUMAH TANGGA A;74;Gol. II;970
2022;FEBRUARI;RUTE: A108;22;YAYASAN SOSIAL;1;Gol. I;242
2022;FEBRUARI;RUTE: A108;24;RUMAH TANGGA B;226;Gol. II;12169
2022;FEBRUARI;RUTE: A108;25;RUMAH TANGGA C;2;Gol. II;40
2022;FEBRUARI;RUTE: A108;31;NIAGA KECIL;20;Gol. III;214
2022;FEBRUARI;RUTE: A108;32;INSTANSI PEMERINTAH;8;Gol. III;147
2022;FEBRUARI;RUTE: A108;46;TNI / POLRI;3;Gol. III;860
2022;FEBRUARI;RUTE: A109;21;RUMAH TANGGA A;70;Gol. II;881
2022;FEBRUARI;RUTE: A109;22;YAYASAN SOSIAL;1;Gol. I;39
2022;FEBRUARI;RUTE: A109;24;RUMAH TANGGA B;80;Gol. II;1168
2022;FEBRUARI;RUTE: A109;25;RUMAH TANGGA C;2;Gol. II;46
2022;FEBRUARI;RUTE: A109;31;NIAGA KECIL;3;Gol. III;3
2022;FEBRUARI;RUTE: A109;32;INSTANSI PEMERINTAH;2;Gol. III;10
2022;FEBRUARI;RUTE: A110;11;HIDRAN UMUM;1;Gol. I;0
2022;FEBRUARI;RUTE: A110;13;RUMAH IBADAH;2;Gol. I;101
2022;FEBRUARI;RUTE: A110;14;PANTI ASUHAN;1;Gol. I;39
2022;FEBRUARI;RUTE: A110;15;SEKOLAH NEGERI;4;Gol. III;88
2022;FEBRUARI;RUTE: A110;21;RUMAH TANGGA A;165;Gol. II;2932
2022;FEBRUARI;RUTE: A110;22;YAYASAN SOSIAL;5;Gol. I;187
2022;FEBRUARI;RUTE: A110;24;RUMAH TANGGA B;43;Gol. II;647
2022;FEBRUARI;RUTE: A110;25;RUMAH TANGGA C;1;Gol. II;22
2022;FEBRUARI;RUTE: A110;26;RUMAH TANGGA D;1;Gol. II;60
2022;FEBRUARI;RUTE: A110;31;NIAGA KECIL;2;Gol. III;29
2022;FEBRUARI;RUTE: A111;13;RUMAH IBADAH;3;Gol. I;144
2022;FEBRUARI;RUTE: A111;15;SEKOLAH NEGERI;4;Gol. III;71
2022;FEBRUARI;RUTE: A111;21;RUMAH TANGGA A;140;Gol. II;1624
2022;FEBRUARI;RUTE: A111;24;RUMAH TANGGA B;279;Gol. II;2314
2022;FEBRUARI;RUTE: A111;25;RUMAH TANGGA C;6;Gol. II;39
2022;FEBRUARI;RUTE: A111;31;NIAGA KECIL;42;Gol. III;400
2022;FEBRUARI;RUTE: A111;32;INSTANSI PEMERINTAH;9;Gol. III;492
2022;FEBRUARI;RUTE: A111;33;NIAGA MENENGAH;1;Gol. III;31
2022;FEBRUARI;RUTE: A111;46;TNI / POLRI;1;Gol. III;110
2022;FEBRUARI;RUTE: A112;13;RUMAH IBADAH;2;Gol. I;20
2022;FEBRUARI;RUTE: A112;15;SEKOLAH NEGERI;1;Gol. III;24
2022;FEBRUARI;RUTE: A112;21;RUMAH TANGGA A;159;Gol. II;2001
2022;FEBRUARI;RUTE: A112;22;YAYASAN SOSIAL;1;Gol. I;7
2022;FEBRUARI;RUTE: A112;23;RUMAH SAKIT PEMERINTAH;1;Gol. III;39
2022;FEBRUARI;RUTE: A112;24;RUMAH TANGGA B;95;Gol. II;1173
2022;FEBRUARI;RUTE: A112;25;RUMAH TANGGA C;1;Gol. II;5
2022;FEBRUARI;RUTE: A112;31;NIAGA KECIL;21;Gol. III;289
2022;FEBRUARI;RUTE: A112;44;KLINIK PEMERINTAH;1;Gol. III;0
2022;FEBRUARI;RUTE: A113;11;HIDRAN UMUM;1;Gol. I;7
2022;FEBRUARI;RUTE: A113;13;RUMAH IBADAH;3;Gol. I;21
2022;FEBRUARI;RUTE: A113;15;SEKOLAH NEGERI;2;Gol. III;26
2022;FEBRUARI;RUTE: A113;21;RUMAH TANGGA A;237;Gol. II;2539
2022;FEBRUARI;RUTE: A113;22;YAYASAN SOSIAL;4;Gol. I;35
2022;FEBRUARI;RUTE: A113;24;RUMAH TANGGA B;106;Gol. II;1791
2022;FEBRUARI;RUTE: A113;25;RUMAH TANGGA C;3;Gol. II;72
2022;FEBRUARI;RUTE: A113;31;NIAGA KECIL;34;Gol. III;548
2022;FEBRUARI;RUTE: A113;32;INSTANSI PEMERINTAH;4;Gol. III;45
2022;FEBRUARI;RUTE: A114;13;RUMAH IBADAH;2;Gol. I;10
2022;FEBRUARI;RUTE: A114;15;SEKOLAH NEGERI;1;Gol. III;27
